,date,call_count
0,2023-01-01,15
1,2023-01-02,34
2,2023-01-03,231
3,2023-01-04,220
4,2023-01-05,146
5,2023-01-06,154
6,2023-01-07,60
7,2023-01-08,24
8,2023-01-09,215
9,2023-01-10,233
10,2023-01-11,210
11,2023-01-12,181
12,2023-01-13,146
13,2023-01-14,44
14,2023-01-15,13
15,2023-01-16,163
16,2023-01-17,172
17,2023-01-18,163
18,2023-01-19,167
19,2023-01-20,116
20,2023-01-21,22
21,2023-01-22,17
22,2023-01-23,205
23,2023-01-24,149
24,2023-01-25,150
25,2023-01-26,199
26,2023-01-27,103
27,2023-01-28,12
28,2023-01-29,3
29,2023-01-30,164
30,2023-01-31,244
31,2023-02-01,265
32,2023-02-02,254
33,2023-02-03,297
34,2023-02-04,12
35,2023-02-05,24
36,2023-02-06,379
37,2023-02-07,299
38,2023-02-08,368
39,2023-02-09,296
40,2023-02-10,204
41,2023-02-11,34
42,2023-02-12,7
43,2023-02-13,351
44,2023-02-14,266
45,2023-02-15,356
46,2023-02-16,304
47,2023-02-17,301
48,2023-02-18,19
49,2023-02-19,21
50,2023-02-20,273
51,2023-02-21,321
52,2023-02-22,408
53,2023-02-23,408
54,2023-02-24,404
55,2023-02-25,18
56,2023-02-26,8
57,2023-02-27,363
58,2023-02-28,434
59,2023-03-01,284
60,2023-03-02,262
61,2023-03-03,359
62,2023-03-04,21
63,2023-03-05,8
64,2023-03-06,371
65,2023-03-07,382
66,2023-03-08,451
67,2023-03-09,362
68,2023-03-10,364
69,2023-03-11,6
70,2023-03-12,2
71,2023-03-13,444
72,2023-03-14,393
73,2023-03-15,484
74,2023-03-16,523
75,2023-03-17,465
76,2023-03-18,71
77,2023-03-19,21
78,2023-03-20,693
79,2023-03-21,511
80,2023-03-22,571
81,2023-03-23,588
82,2023-03-24,431
83,2023-03-25,81
84,2023-03-26,4
85,2023-03-27,519
86,2023-03-28,651
87,2023-03-29,599
88,2023-03-30,524
89,2023-03-31,376
90,2023-04-01,39
91,2023-04-02,15
92,2023-04-03,541
93,2023-04-04,499
94,2023-04-05,529
95,2023-04-06,467
96,2023-04-07,339
97,2023-04-08,160
98,2023-04-09,12
99,2023-04-10,445
100,2023-04-11,499
101,2023-04-12,549
102,2023-04-13,461
103,2023-04-14,530
104,2023-04-15,43
