date,call_count
01-01-2023,15
02-01-2023,34
03-01-2023,231
04-01-2023,220
05-01-2023,146
06-01-2023,154
07-01-2023,60
08-01-2023,24
09-01-2023,215
10-01-2023,233
11-01-2023,210
12-01-2023,181
13-01-2023,146
14-01-2023,44
15-01-2023,13
16-01-2023,163
17-01-2023,172
18-01-2023,163
19-01-2023,167
20-01-2023,116
21-01-2023,22
22-01-2023,17
23-01-2023,205
24-01-2023,149
25-01-2023,150
26-01-2023,199
27-01-2023,103
28-01-2023,12
29-01-2023,3
30-01-2023,164
31-01-2023,244
01-02-2023,265
02-02-2023,254
03-02-2023,297
04-02-2023,12
05-02-2023,24
06-02-2023,379
07-02-2023,299
08-02-2023,368
09-02-2023,296
10-02-2023,204
11-02-2023,34
12-02-2023,7
13-02-2023,351
14-02-2023,266
15-02-2023,356
16-02-2023,304
17-02-2023,301
18-02-2023,19
19-02-2023,21
20-02-2023,273
21-02-2023,321
22-02-2023,408
23-02-2023,408
24-02-2023,404
25-02-2023,18
26-02-2023,8
27-02-2023,363
28-02-2023,434
01-03-2023,284
02-03-2023,262
03-03-2023,359
04-03-2023,21
05-03-2023,8
06-03-2023,371
07-03-2023,382
08-03-2023,451
09-03-2023,362
10-03-2023,364
11-03-2023,6
12-03-2023,2
13-03-2023,444
14-03-2023,393
15-03-2023,484
16-03-2023,523
17-03-2023,465
18-03-2023,71
19-03-2023,21
20-03-2023,693
21-03-2023,511
22-03-2023,571
23-03-2023,588
24-03-2023,431
25-03-2023,81
26-03-2023,4
27-03-2023,519
28-03-2023,651
29-03-2023,599
30-03-2023,524
31-03-2023,376
01-04-2023,39
02-04-2023,15
03-04-2023,541
04-04-2023,499
05-04-2023,529
06-04-2023,467
07-04-2023,339
08-04-2023,160
09-04-2023,12
10-04-2023,445
11-04-2023,499
12-04-2023,549
13-04-2023,461
14-04-2023,530
15-04-2023,43
16-04-2023,10
17-04-2023,462
18-04-2023,539
19-04-2023,528
20-04-2023,473
21-04-2023,414
22-04-2023,56
23-04-2023,3
24-04-2023,517
25-04-2023,628
26-04-2023,593
27-04-2023,586
28-04-2023,534
29-04-2023,48
30-04-2023,5
01-05-2023,370
02-05-2023,634
03-05-2023,540
04-05-2023,580
05-05-2023,463
06-05-2023,56
07-05-2023,29
08-05-2023,438
09-05-2023,426
10-05-2023,442
11-05-2023,467
12-05-2023,348
13-05-2023,18
14-05-2023,6
15-05-2023,342
16-05-2023,453
17-05-2023,321
18-05-2023,278
19-05-2023,231
20-05-2023,11
21-05-2023,19
22-05-2023,406
23-05-2023,463
24-05-2023,292
25-05-2023,438
26-05-2023,312
27-05-2023,14
28-05-2023,1
30-05-2023,437
31-05-2023,514
01-06-2023,381
02-06-2023,365
03-06-2023,64
04-06-2023,8
05-06-2023,414
06-06-2023,478
07-06-2023,363
08-06-2023,448
09-06-2023,455
10-06-2023,83
11-06-2023,19
12-06-2023,476
13-06-2023,463
14-06-2023,331
15-06-2023,368
16-06-2023,463
17-06-2023,30
18-06-2023,13
19-06-2023,276
20-06-2023,451
21-06-2023,411
22-06-2023,376
23-06-2023,367
24-06-2023,62
25-06-2023,3
26-06-2023,346
27-06-2023,289
28-06-2023,444
29-06-2023,223
30-06-2023,275
01-07-2023,9
02-07-2023,3
03-07-2023,398
05-07-2023,356
06-07-2023,351
07-07-2023,232
08-07-2023,9
09-07-2023,12
10-07-2023,264
11-07-2023,306
12-07-2023,245
13-07-2023,274
14-07-2023,204
15-07-2023,12
16-07-2023,34
17-07-2023,319
18-07-2023,203
19-07-2023,314
20-07-2023,319
21-07-2023,245
22-07-2023,18
23-07-2023,10
24-07-2023,264
25-07-2023,212
26-07-2023,213
27-07-2023,168
28-07-2023,227
29-07-2023,15
30-07-2023,24
31-07-2023,283
01-08-2023,329
02-08-2023,331
03-08-2023,413
04-08-2023,402
05-08-2023,104
06-08-2023,26
07-08-2023,576
08-08-2023,791
09-08-2023,784
10-08-2023,779
11-08-2023,703
12-08-2023,118
13-08-2023,16
14-08-2023,659
15-08-2023,747
16-08-2023,744
17-08-2023,732
18-08-2023,669
19-08-2023,88
20-08-2023,16
21-08-2023,796
22-08-2023,726
23-08-2023,892
24-08-2023,559
25-08-2023,506
26-08-2023,39
27-08-2023,13
28-08-2023,855
29-08-2023,887
30-08-2023,867
31-08-2023,709
01-09-2023,733
02-09-2023,48
03-09-2023,5
05-09-2023,675
06-09-2023,869
07-09-2023,723
08-09-2023,768
09-09-2023,113
10-09-2023,49
11-09-2023,727
12-09-2023,778
13-09-2023,796
14-09-2023,759
15-09-2023,715
16-09-2023,97
17-09-2023,27
18-09-2023,582
19-09-2023,544
20-09-2023,571
21-09-2023,545
22-09-2023,481
23-09-2023,48
24-09-2023,30
25-09-2023,614
26-09-2023,518
27-09-2023,565
28-09-2023,454
29-09-2023,528
