iter	Passed	Remaining
0	136	683225
1	137	343195
2	137	229589
3	138	172796
4	138	138709
5	139	115985
6	139	99757
7	140	87591
8	140	78126
9	141	70551
10	141	64358
11	142	59190
12	142	54821
13	143	51088
14	143	47841
15	144	45025
16	145	42528
17	145	40303
18	146	38351
19	146	36572
20	147	34951
21	147	33477
22	148	32150
23	149	30938
24	149	29802
25	150	28751
26	150	27775
27	151	26868
28	151	26029
29	152	25274
30	153	24591
31	153	23903
32	154	23253
33	155	22640
34	155	22061
35	156	21515
36	156	20998
37	157	20509
38	157	20043
39	158	19601
40	158	19180
41	159	18782
42	159	18400
43	160	18036
44	160	17686
45	161	17352
46	161	17032
47	162	16725
48	162	16431
49	163	16149
50	163	15879
51	164	15618
52	164	15367
53	165	15124
54	165	14891
55	166	14668
56	166	14463
57	167	14258
58	167	14056
59	168	13860
60	168	13671
61	169	13488
62	169	13310
63	170	13138
64	170	12971
65	171	12810
66	171	12652
67	172	12500
68	172	12352
69	173	12209
70	173	12070
71	174	11934
72	174	11802
73	175	11674
74	175	11549
75	176	11426
76	176	11308
77	177	11192
78	177	11080
79	178	10971
80	178	10864
81	179	10759
82	179	10657
83	180	10559
84	180	10462
85	181	10367
86	182	10285
87	182	10195
88	183	10107
89	183	10020
90	184	9935
91	184	9853
92	185	9771
93	185	9691
94	186	9614
95	186	9537
96	187	9463
97	187	9389
98	188	9317
99	188	9247
100	189	9178
101	189	9110
102	190	9044
103	190	8979
104	191	8915
105	191	8852
106	192	8791
107	192	8731
108	193	8671
109	193	8613
110	194	8556
111	194	8503
112	195	8449
113	195	8395
114	196	8342
115	196	8290
116	197	8238
117	197	8188
118	198	8138
119	198	8089
120	199	8041
121	199	7993
122	200	7947
123	200	7901
124	201	7856
125	201	7812
126	202	7769
127	202	7726
128	203	7684
129	204	7643
130	204	7601
131	205	7561
132	205	7521
133	206	7482
134	206	7443
135	207	7405
136	207	7367
137	208	7330
138	208	7293
139	209	7257
140	209	7222
141	210	7186
142	210	7151
143	211	7117
144	211	7086
145	212	7055
146	212	7023
147	213	6990
148	213	6958
149	214	6927
150	214	6895
151	215	6865
152	215	6834
153	216	6805
154	216	6775
155	217	6746
156	217	6717
157	218	6689
158	218	6660
159	219	6632
160	219	6605
161	220	6578
162	220	6551
163	221	6524
164	221	6498
165	222	6472
166	222	6447
167	223	6421
168	223	6396
169	224	6371
170	224	6347
171	225	6323
172	225	6299
173	226	6276
174	226	6253
175	227	6230
176	227	6208
177	228	6185
178	228	6163
179	229	6141
180	229	6120
181	230	6098
182	230	6077
183	231	6056
184	231	6035
185	232	6015
186	232	5994
187	233	5974
188	233	5954
189	234	5934
190	234	5914
191	235	5895
192	235	5875
193	236	5857
194	236	5838
195	237	5819
196	237	5801
197	238	5783
198	238	5765
199	239	5746
200	239	5730
201	240	5714
202	241	5697
203	241	5679
204	242	5663
205	242	5646
206	243	5629
207	243	5613
208	244	5596
209	244	5580
210	245	5564
211	245	5547
212	246	5532
213	246	5516
214	247	5500
215	247	5485
216	248	5469
217	248	5454
218	249	5439
219	249	5424
220	250	5409
221	250	5394
222	251	5380
223	251	5366
224	252	5351
225	252	5337
226	253	5323
227	253	5309
228	254	5295
229	254	5282
230	255	5268
231	255	5254
232	256	5241
233	256	5228
234	257	5217
235	258	5209
236	258	5200
237	259	5189
238	259	5177
239	260	5167
240	261	5157
241	261	5145
242	262	5134
243	262	5122
244	263	5110
245	263	5099
246	264	5087
247	264	5075
248	265	5063
249	265	5052
250	266	5040
251	266	5029
252	267	5017
253	267	5006
254	268	4995
255	268	4984
256	269	4972
257	269	4961
258	270	4951
259	270	4940
260	271	4932
261	272	4926
262	272	4916
263	273	4905
264	273	4895
265	274	4884
266	274	4874
267	275	4864
268	275	4853
269	276	4843
270	276	4833
271	277	4823
272	277	4813
273	278	4803
274	278	4793
275	279	4783
276	279	4773
277	280	4763
278	280	4754
279	281	4744
280	281	4735
281	282	4725
282	282	4716
283	283	4706
284	283	4697
285	284	4688
286	284	4679
287	285	4670
288	286	4664
289	286	4657
290	287	4648
291	287	4640
292	288	4631
293	288	4622
294	289	4614
295	289	4605
296	290	4597
297	290	4588
298	291	4580
299	291	4571
300	292	4563
301	292	4555
302	293	4547
303	293	4539
304	294	4530
305	294	4522
306	295	4514
307	295	4506
308	296	4499
309	296	4491
310	297	4483
311	297	4475
312	298	4468
313	298	4460
314	299	4452
315	299	4445
316	300	4438
317	301	4432
318	301	4425
319	302	4417
320	302	4410
321	303	4403
322	303	4396
323	304	4388
324	304	4381
325	305	4374
326	305	4367
327	306	4360
328	306	4353
329	307	4346
330	307	4339
331	308	4332
332	308	4325
333	309	4319
334	309	4312
335	310	4305
336	310	4298
337	311	4291
338	311	4285
339	312	4278
340	312	4271
341	313	4265
342	313	4258
343	314	4252
344	314	4247
345	315	4240
346	315	4234
347	316	4227
348	316	4221
349	317	4215
350	317	4208
351	318	4202
352	318	4196
353	319	4190
354	319	4184
355	320	4178
356	320	4172
357	321	4165
358	321	4159
359	322	4153
360	322	4148
361	323	4142
362	323	4136
363	324	4130
364	324	4124
365	325	4119
366	325	4113
367	326	4107
368	326	4102
369	327	4096
370	327	4090
371	328	4085
372	328	4080
373	329	4075
374	329	4069
375	330	4064
376	331	4060
377	331	4055
378	332	4050
379	332	4045
380	333	4040
381	333	4035
382	334	4030
383	334	4025
384	335	4019
385	335	4014
386	336	4009
387	336	4004
388	337	3998
389	337	3993
390	338	3988
391	338	3983
392	339	3978
393	339	3973
394	340	3968
395	340	3963
396	341	3958
397	341	3953
398	342	3948
399	342	3943
400	343	3938
401	344	3934
402	344	3930
403	345	3925
404	345	3920
405	346	3915
406	346	3910
407	347	3905
408	347	3900
409	348	3896
410	348	3891
411	349	3886
412	349	3881
413	350	3877
414	350	3872
415	351	3867
416	351	3863
417	352	3858
418	352	3854
419	353	3849
420	353	3845
421	354	3840
422	354	3836
423	355	3831
424	355	3830
425	356	3826
426	356	3822
427	357	3817
428	357	3813
429	358	3810
430	359	3807
431	359	3803
432	360	3799
433	360	3795
434	361	3795
435	362	3792
436	362	3788
437	363	3783
438	363	3779
439	364	3775
440	364	3771
441	365	3767
442	365	3762
443	366	3758
444	366	3754
445	367	3750
446	367	3746
447	368	3742
448	368	3738
449	369	3734
450	369	3730
451	370	3726
452	370	3722
453	371	3718
454	371	3714
455	372	3710
456	372	3706
457	373	3702
458	373	3698
459	374	3694
460	374	3690
461	375	3686
462	375	3684
463	376	3680
464	377	3676
465	377	3673
466	378	3669
467	378	3665
468	379	3662
469	379	3658
470	380	3654
471	380	3650
472	381	3646
473	381	3643
474	382	3639
475	382	3635
476	383	3631
477	383	3628
478	384	3624
479	384	3621
480	385	3617
481	385	3613
482	386	3610
483	386	3606
484	387	3602
485	387	3599
486	388	3595
487	388	3592
488	389	3588
489	389	3585
490	390	3581
491	390	3578
492	391	3575
493	391	3572
494	392	3568
495	392	3565
496	393	3561
497	393	3558
498	394	3555
499	394	3551
500	395	3548
501	395	3544
502	396	3541
503	396	3538
504	397	3534
505	397	3531
506	398	3528
507	398	3524
508	399	3521
509	399	3519
510	400	3516
511	400	3513
512	401	3510
513	401	3506
514	402	3503
515	402	3500
516	403	3497
517	403	3494
518	404	3491
519	404	3488
520	405	3485
521	405	3482
522	406	3479
523	406	3476
524	407	3473
525	407	3470
526	408	3467
527	409	3464
528	409	3461
529	409	3457
530	410	3454
531	410	3451
532	411	3448
533	411	3445
534	412	3442
535	413	3439
536	413	3436
537	414	3433
538	414	3430
539	415	3427
540	415	3424
541	416	3421
542	416	3418
543	417	3415
544	417	3413
545	418	3410
546	418	3407
547	419	3405
548	419	3403
549	420	3401
550	420	3398
551	421	3396
552	421	3393
553	422	3390
554	423	3387
555	423	3384
556	423	3382
557	424	3379
558	425	3376
559	425	3373
560	426	3371
561	426	3368
562	427	3365
563	427	3362
564	428	3360
565	428	3357
566	429	3354
567	429	3352
568	430	3349
569	430	3346
570	431	3343
571	431	3341
572	432	3338
573	432	3336
574	433	3333
